Event_id,Restaurant_id,Restaurant_name,Photo_url,Event_title,Event_start_date,Event_end_date
119211,18422898,Hoot,https://www.zomato.com/bangalore/hoot-sarjapur-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,18422898,Hoot,https://www.zomato.com/bangalore/hoot-sarjapur-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,18430785,Communiti,https://www.zomato.com/bangalore/communiti-residency-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,18430785,Communiti,https://www.zomato.com/bangalore/communiti-residency-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,18359919,Onesta,https://www.zomato.com/bangalore/onesta-jp-nagar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,18359919,Onesta,https://www.zomato.com/bangalore/onesta-jp-nagar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,58268,The Fatty Bao - Asian Gastro Bar,https://www.zomato.com/bangalore/the-fatty-bao-asian-gastro-bar-indiranagar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,58268,The Fatty Bao - Asian Gastro Bar,https://www.zomato.com/bangalore/the-fatty-bao-asian-gastro-bar-indiranagar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,50943,Sultans of Spice,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,50943,Sultans of Spice,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,18407918,Bombay Brasserie,https://www.zomato.com/bangalore/bombay-brasserie-indiranagar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,18407918,Bombay Brasserie,https://www.zomato.com/bangalore/bombay-brasserie-indiranagar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
119211,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Specialties for Summer Afternoons !,2017-04-10,2017-05-31
Event_id,Restaurant_id,Restaurant_name,Photo_url,Event_title,Event_start_date,Event_end_date
117156,210134,Grand Barbeque Buffet Restaurant,https://www.zomato.com/dubai/grand-barbeque-buffet-restaurant-satwa/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,18233284,Farzi Cafe,https://www.zomato.com/dubai/farzi-cafe-al-safa/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,18269368,AB's Absolute Barbecues,https://www.zomato.com/dubai/abs-absolute-barbecues-deira-city-centre-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,208939,AB's Absolute Barbecues,https://www.zomato.com/dubai/abs-absolute-barbecues-dubai-media-city/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,18381837,SpiceKlub,https://www.zomato.com/dubai/spiceklub-mankhool/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,210139,Grub Shack,https://www.zomato.com/grubshack/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,202321,The Farm,https://www.zomato.com/dubai/the-farm-al-barari/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,201340,The Cheesecake Factory,https://www.zomato.com/dubai/the-cheesecake-factory-downtown-dubai/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,208850,Tresind - Nassima Royal Hotel,https://www.zomato.com/dubai/tresind-nassima-royal-hotel-trade-centre-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
117156,201531,Hard Rock Cafe,https://www.zomato.com/dubai/hard-rock-cafe-festival-city/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Lucknowi Food Festival ,2017-04-06,2017-04-22
