Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18162866,Three Dots & A Dash,India,Bangalore,1354,3.9,"European, Continental"
56464,Glen's Bakehouse,India,Bangalore,3533,4.0,"Bakery, Desserts, Cafe"
18221572,Onesta,India,Bangalore,1413,4.3,"Pizza, Cafe, Italian"
56618,AB's - Absolute Barbecues,India,Bangalore,6907,4.6,"European, Mediterranean, North Indian"
18305628,Eat Street,India,Bangalore,753,4.3,"North Indian, Chinese, Italian, Street Food, Desserts"
18422898,Hoot,India,Bangalore,405,3.9,"Continental, Italian, North Indian"
18430785,Communiti,India,Bangalore,334,4.2,Continental
18359919,Onesta,India,Bangalore,781,4.6,"Pizza, Cafe, Italian"
58268,The Fatty Bao - Asian Gastro Bar,India,Bangalore,2369,4.7,Asian
50943,Sultans of Spice,India,Bangalore,2416,4.1,"North Indian, Mughlai"
18407918,Bombay Brasserie,India,Bangalore,231,4.2,Modern Indian
54162,The Black Pearl,India,Bangalore,5385,4.1,"North Indian, European, Mediterranean"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18354483,Farzi Cafe,India,Pune,868,4.3,Modern Indian
13231,Le Plaisir,India,Pune,2510,4.8,"European, Desserts"
6507967,Tales & Spirits,India,Pune,997,4.1,"Italian, Continental, Cafe"
6508323,The Urban Foundry,India,Pune,1099,4.5,"North Indian, Asian"
18441490,Barbeque Ville,India,Pune,208,4.4,North Indian
6505309,The Little Next Door,India,Pune,1143,4.1,"Finger Food, Italian, Spanish, Greek"
6507495,Apache,India,Pune,377,4.1,Finger Food
18350020,Kargo,India,Pune,635,4.4,"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai"
18383076,Mineority By Saby,India,Pune,306,4.2,"North Indian, North Eastern, Continental"
6507461,Agent Jack's Bar,India,Pune,1531,4.2,"Continental, North Indian, Italian"
18383095,Teddy Boy,India,Pune,507,3.6,"North Indian, Continental, Finger Food"
6508117,Sautéed Stories,India,Pune,583,4.2,"Cafe, Italian, Continental"
11807,Barbeque Nation,India,Pune,2847,4.5,"North Indian, Mughlai"
6504409,Effingut Brewerkz,India,Pune,1531,4.3,"Continental, North Indian, Mughlai, Burmese"
18417624,The Sassy Spoon,India,Pune,140,4.1,"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food"
6506206,18 Degrees Resto Lounge,India,Pune,1566,3.6,"North Indian, Mediterranean, Chinese"
11371,Chili's,India,Pune,1439,4.5,"Mexican, American, Tex-Mex"
18378852,Effingut Brewerkz,India,Pune,375,4.3,"Continental, North Indian, Mughlai, Burmese"
6505564,German Bakery Wunderbar,India,Pune,1583,4.0,"Italian, German, Continental"
18292672,Blue Water,India,Pune,487,4.2,"North Indian, Chinese, Continental"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18452864,AB's - Absolute Barbecues,India,Hyderabad,200,4.9,"European, Mediterranean, North Indian"
97824,Chili's,India,Hyderabad,1932,4.7,"Mexican, American, Tex-Mex, Burger"
18356469,Prost Brew Pub,India,Hyderabad,594,4.1,"Italian, Continental, Chinese"
90847,Chili's,India,Hyderabad,2553,4.6,"Mexican, American, Tex-Mex, Burger"
97503,United Kitchens of India,India,Hyderabad,1431,4.1,"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese"
18418730,Mocha Bar,India,Hyderabad,221,4.2,"North Indian, Continental, Italian"
18418733,Dock Forty Five,India,Hyderabad,79,4.2,"Continental, Asian"
94286,AB's - Absolute Barbecues,India,Hyderabad,5434,4.9,"European, Mediterranean, North Indian"
18443506,The Fisherman's Wharf,India,Hyderabad,144,3.8,"Seafood, Continental, Goan, Asian, Andhra"
18313013,The Grand Trunk Road,India,Hyderabad,616,3.9,"North Indian, Chinese"
18312984,Sahib’s Barbeque by Ohri’s,India,Hyderabad,571,4.1,"Hyderabadi, Awadhi"
90744,Exotica,India,Hyderabad,3374,4.3,"Mughlai, North Indian, Chinese"
96814,Saffron Mantra,India,Secunderabad,494,4.4,"North Indian, Chinese"
96776,Conçu,India,Hyderabad,1023,4.8,"Bakery, Desserts"
96626,Jonathan's Kitchen - Holiday Inn Express & Suites,India,Hyderabad,860,4.3,"North Indian, Japanese, Italian"
93766,Olive Bistro,India,Hyderabad,2218,4.4,"Mediterranean, Italian, European"
18280329,Pine & Dine,India,Hyderabad,682,4.0,"North Indian, South Indian, Chinese"
92577,Heart Cup Coffee,India,Hyderabad,1859,4.2,"Cafe, Continental, North Indian, Chinese"
90499,Coffee Cup,India,Secunderabad,1408,4.6,"Cafe, Continental"
18307251,Churrolto,India,Hyderabad,344,4.7,"Desserts, Cafe, Mexican"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
72604,Coal Barbecues,India,Chennai,1267,4.6,"North Indian, Mediterranean, Asian, Arabian"
70894,Maplai,India,Chennai,1714,4.2,"South Indian, Chettinad"
72475,Haunted,India,Chennai,519,3.8,"North Indian, Chinese, Arabian"
73088,Chili's,India,Chennai,1262,4.8,"Mexican, American, Tex-Mex, Burger"
70497,Basil With A Twist,India,Chennai,1210,4.5,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean"
66457,Pind,India,Chennai,2272,4.0,"North Indian, Chinese"
69024,That Madras Place,India,Chennai,1810,4.2,"European, Italian, Desserts"
71443,Palmshore,India,Chennai,841,4.2,"North Indian, Mughlai, Chinese, South Indian"
18384227,AB's - Absolute Barbecues,India,Chennai,859,4.9,"North Indian, European, Mediterranean"
70393,Bombay Brasserie,India,Chennai,1753,4.6,North Indian
70890,Fusilli Reasons,India,Chennai,1510,4.6,Italian
65055,Barbeque Nation,India,Chennai,3848,4.4,"North Indian, Continental"
65413,Palmshore,India,Chennai,742,4.3,"North Indian, Mughlai, Chinese, South Indian"
73279,Paradise,India,Chennai,1317,3.8,"Biryani, North Indian"
72497,Palmshore,India,Chennai,645,4.4,"North Indian, Mughlai, Chinese, South Indian"
18423075,Writer's Cafe,India,Chennai,191,4.2,"Cafe, European"
70092,Kaidi Kitchen,India,Chennai,1820,4.0,"Italian, Mexican, Chinese, Thai, North Indian"
71492,Ciclo Cafe,India,Chennai,1004,4.1,"Cafe, Continental"
70431,Pantry d'or,India,Chennai,1504,4.4,"Continental, Cafe, Italian, Desserts"
69951,L'amandier,India,Chennai,1607,4.3,"European, Cafe, Italian"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
801269,Vintage Machine,India,Lucknow,887,4.3,"Italian, American, Lebanese"
800089,Barbeque Nation,India,Lucknow,1069,4.7,North Indian
801170,Spice Caves,India,Lucknow,691,4.2,"North Indian, Chinese, Mughlai"
800326,Royal Sky,India,Lucknow,762,4.2,"North Indian, Mughlai, Chinese, Continental"
800891,The Cherry Tree Cafe,India,Lucknow,288,4.1,"Cafe, Bakery"
800468,Grandson of Tunday Kababi,India,Lucknow,1057,4.9,"Mughlai, Lucknowi"
801693,Bar Bar,India,Lucknow,79,4.0,"Cafe, Chinese, Thai, North Indian, Continental"
801640,Underdoggs Sports Bar & Grill,India,Lucknow,124,4.3,"Mediterranean, Italian, American"
800483,Dastarkhwan,India,Lucknow,818,4.4,Mughlai
801384,L 14 - Renaissance Lucknow Hotel,India,Lucknow,149,4.2,"North Indian, Continental, South Indian, Chinese, Thai, Asian"
801636,The Chocolate Heaven,India,Lucknow,165,4.1,"Cafe, Italian, Desserts"
801247,Colours by Royal Cafe - Royal Inn,India,Lucknow,411,4.2,"North Indian, Mughlai, Chinese"
800576,Cappuccino Blast,India,Lucknow,587,4.0,"Cafe, Fast Food"
800237,Percussion,India,Lucknow,514,3.7,"Continental, North Indian, Asian"
18375866,Free Spirit,India,Lucknow,106,4.3,"Cafe, Italian"
801675,Frozen Factory,India,Lucknow,144,4.5,"Desserts, Ice Cream"
18296995,Homeys Cafe,India,Lucknow,217,3.9,"Cafe, Fast Food"
18385021,The Pebbles Bistro,India,Lucknow,80,4.1,European
800273,The Urban Terrace,India,Lucknow,268,3.9,"North Indian, Continental"
801684,Chemistry Café,India,Lucknow,147,3.5,"Cafe, Continental, Chinese"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
900524,Cafe 17,India,Kochi,333,4.4,"Cafe, Continental, Italian"
900533,Paragon,India,Kochi,722,4.3,"Kerala, South Indian, Continental, North Indian, Seafood, Chinese"
900561,Tonico Cafe,India,Kochi,406,4.0,Cafe
95256,Kashi Art Cafe,India,Kochi,659,4.2,"European, Cafe"
95331,Cocoa Tree,India,Kochi,658,4.3,"Italian, Seafood, Mediterranean, Desserts, Cafe"
900547,Slice of Spice,India,Kochi,246,4.0,"Fast Food, Biryani"
95286,Grand Hotel Restaurant,India,Kochi,394,4.2,"North Indian, Kerala, Chinese, Continental"
95304,Bloomsbury's Boutique Cafe and Artisan Bakery,India,Kochi,482,4.2,"Cafe, Bakery, Desserts"
901089,Mustake Multicuisine Restaurant,India,Kochi,145,3.7,"Chinese, Thai, North Indian, South Indian"
900032,French Toast,India,Kochi,312,4.3,"Continental, Cafe, Desserts, Bakery"
900800,ChaiCofi,India,Kochi,160,4.0,"Cafe, Continental, Italian"
900682,Nawras Seafood Restaurant,India,Kochi,289,4.6,Seafood
901004,Aangan - Downtown Multicuisine Restaurant,India,Kochi,146,4.2,"Chinese, Seafood, North Indian, Biryani"
901035,Palaaram,India,Kochi,105,3.7,"Kerala, Fast Food"
95333,Chiyang,India,Kochi,277,3.7,"Chinese, Continental"
900111,Ali Baba & 41 Dishes,India,Kochi,348,3.5,"Kerala, South Indian, Chinese, Biryani"
95361,Ifthar,India,Kochi,281,3.8,Kerala
